comment,director,last,movietype,orgintitle,rank,region,score,title,url,year
人与自然的战争史诗。,宫崎骏,,动作 爱情 动画 战争 奇幻 冒险,もののけ姫,78,,8.8,幽灵公主,https://movie.douban.com/subject/1297359/,1997
经典之作，历久弥新。,万籁鸣,,动画 奇幻,,82,,9.2,大闹天宫,https://movie.douban.com/subject/1418019/,1961
你给我翻译翻译，神马叫做TMD的惊喜。,姜文,,剧情 喜剧 动作 西部,,79,,8.7,让子弹飞,https://movie.douban.com/subject/3742360/,2010
人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特,,剧情,"Good,Will,Hunting",76,,8.7,心灵捕手,https://movie.douban.com/subject/1292656/,1997
故事的高级讲法。,昆汀·塔伦蒂诺,,剧情 喜剧 犯罪,"Pulp,Fiction",65,,8.7,低俗小说,https://movie.douban.com/subject/1291832/,1994
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎,,剧情,おくりびと,66,,8.8,入殓师,https://movie.douban.com/subject/2149806/,2008
史诗大片的典范。,梅尔·吉布森,,剧情 动作 传记 历史 战争,Braveheart,61,,8.8,勇敢的心,https://movie.douban.com/subject/1294639/,1995
孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰,,剧情 悬疑 惊悚,"The,Prestige",60,,8.8,致命魔术,https://movie.douban.com/subject/1780330/,2006
奔跑的孩子是天使。,马基德·马基迪,,剧情 家庭 儿童,"بچههای,آسمان",62,,9.2,小鞋子,https://movie.douban.com/subject/1303021/,1997
以戏谑来戏谑戏谑。,中岛哲也,,剧情 歌舞,嫌われ松子の一生,59,,8.9,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,2006
人生不能像做菜，把所有的料都准备好了才下锅。,李安,,剧情 家庭,飲食男女,58,,9.0,饮食男女,https://movie.douban.com/subject/1291818/,1994
浪漫忧郁的成人童话。,蒂姆·波顿,,剧情 爱情 奇幻,"Edward,Scissorhands",63,,8.7,剪刀手爱德华,https://movie.douban.com/subject/1292370/,1990
用音乐化解仇恨，让歌声串起美好。,罗伯特·怀斯,,剧情 爱情 歌舞 家庭 传记,"The,Sound,of,Music",64,,8.9,音乐之声,https://movie.douban.com/subject/1294408/,1965
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森,,剧情,"Rain,Man",124,,8.6,雨人,https://movie.douban.com/subject/1291870/,1988
动物版《哈姆雷特》。,罗杰·阿勒斯,,剧情 动画 歌舞 家庭 冒险,"The,Lion,King",57,,8.9,狮子王,https://movie.douban.com/subject/1301753/,1994
梦的勾结。,今敏,,科幻 动画 悬疑 惊悚,パプリカ,125,,8.8,红辣椒,https://movie.douban.com/subject/1865703/,2006
警察抓小偷，老鼠玩死猫。,大卫·芬奇,,剧情 悬疑 惊悚 犯罪,Se7en,55,,8.7,七宗罪,https://movie.douban.com/subject/1292223/,1995
爱，是个动词。,理查德·柯蒂斯,,剧情 喜剧 爱情,"Love,Actually",123,,8.5,真爱至上,https://movie.douban.com/subject/1292401/,2003
传奇，不是每个人都可以拥有。,爱德华·兹威克,,剧情 爱情 家庭 西部,"Legends,of,the,Fall",122,,8.8,燃情岁月,https://movie.douban.com/subject/1295865/,1994
像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯,,动作 悬疑 惊悚,"The,Bourne,Ultimatum",120,,8.7,谍影重重3,https://movie.douban.com/subject/1578507/,2007
时代悲歌。,黑泽明,,剧情 动作 冒险,七人の侍,116,,9.2,七武士,https://movie.douban.com/subject/1295399/,1954
曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌,,动画 奇幻 冒险,借りぐらしのアリエッティ,121,,8.7,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,2010
岁月流逝，来日可追。,罗启锐,,剧情 家庭,歲月神偷,118,,8.6,岁月神偷,https://movie.douban.com/subject/3792799/,2010
恐怖分子的“秋菊打官司”。,金秉祐,,剧情 悬疑 犯罪,"더,테러,라이브",117,,8.7,恐怖直播,https://movie.douban.com/subject/21360417/,2013
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北野武,,剧情 喜剧,菊次郎の夏,113,,8.7,菊次郎的夏天,https://movie.douban.com/subject/1293359/,1999
两张绝世的脸。 ,程小东,,剧情 爱情 武侠 古装,,114,,8.6,倩女幽魂,https://movie.douban.com/subject/1297447/,1987
Mr. I Don't Care其实也有Care的时候。,皮埃尔·科凡,,喜剧 动画 冒险,"Despicable,Me",115,,8.5,神偷奶爸,https://movie.douban.com/subject/3287562/,2010
有时候幸福需要等一等。 ,史蒂文·斯皮尔伯格,,剧情 喜剧 爱情,"The,Terminal",112,,8.6,幸福终点站,https://movie.douban.com/subject/1292274/,2004
大海啊，不全是水。,雅克·贝汉,,纪录片,Océans,111,,9.0,海洋,https://movie.douban.com/subject/3443389/,2009
幸福是生生不息，却难以触及的远。 ,高畑勋,,剧情 动画 战争,火垂るの墓,106,,8.7,萤火虫之墓,https://movie.douban.com/subject/1293318/,1988
年度最佳date movie。,大卫·芬奇,,剧情 悬疑 惊悚 犯罪,"Gone,Girl",110,,8.7,消失的爱人,https://movie.douban.com/subject/21318488/,2014
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼,,剧情 战争,"The,Boy,in,the,Striped,Pajamas",108,,8.9,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,2008
少女情怀总是诗。,近藤喜文,,剧情 爱情 动画 音乐,耳をすませば,105,,8.8,侧耳倾听,https://movie.douban.com/subject/1297052/,1995
穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶,,剧情,Detachment,109,,8.8,超脱,https://movie.douban.com/subject/5322596/,2011
骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格,,剧情 传记 犯罪,"Catch,Me,If,You,Can",102,,8.7,猫鼠游戏,https://movie.douban.com/subject/1305487/,2002
童话世界的开端。,克里斯·哥伦布,,奇幻 冒险,"Harry,Potter,and,the,Sorcerer's,Stone",104,,8.6,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,2001
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特,,剧情 爱情,"Before,Sunset",103,,8.7,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,2004
和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯,,喜剧 动画 家庭 奇幻 冒险,"How,to,Train,Your,Dragon",107,,8.7,驯龙高手,https://movie.douban.com/subject/2353023/,2010
动画片的圣经。,宫崎骏,,科幻 动画 奇幻 冒险,風の谷のナウシカ,101,,8.8,风之谷,https://movie.douban.com/subject/1291585/,1984
法式小清新。 ,让-皮埃尔·热内,,喜剧 爱情,"Le,fabuleux,destin,d'Amélie,Poulain",51,,8.7,天使爱美丽,https://movie.douban.com/subject/1292215/,2001
音乐能化解仇恨。,罗曼·波兰斯基,,剧情 传记 历史 战争,"The,Pianist",54,,9.0,钢琴家,https://movie.douban.com/subject/1296736/,2002
往事如烟，无处祭奠。,赛尔乔·莱翁内,,剧情 犯罪,"Once,Upon,a,Time,in,America",53,,9.1,美国往事,https://movie.douban.com/subject/1292262/,1984
对爱的执着，可以超越一切。,史蒂文·斯皮尔伯格,,剧情 科幻 冒险,"Artificial,Intelligence:,AI",150,,8.6,人工智能,https://movie.douban.com/subject/1302827/,2001
触不到的恋人。,大森贵弘,,剧情 爱情 动画 奇幻,蛍火の杜へ,149,,8.7,萤火之森,https://movie.douban.com/subject/5989818/,2011
比利·怀德满分作品。,比利·怀尔德,,剧情 悬疑 犯罪,"Witness,for,the,Prosecution",52,,9.6,控方证人,https://movie.douban.com/subject/1296141/,1957
跨度十五年的欢乐与泪水。,李·昂克里奇,,喜剧 动画 奇幻 冒险,"Toy,Story,3",148,,8.7,玩具总动员3,https://movie.douban.com/subject/1858711/,2010
骨灰级歌舞片。,斯坦利·多南,,喜剧 爱情 歌舞,"Singin',in,the,Rain",143,,8.9,雨中曲,https://movie.douban.com/subject/1293460/,1952
任何信念的力量，都无法改变命运。,弗朗西斯·福特·科波拉,,剧情 犯罪,"The,Godfather:,Part,III",145,,8.7,教父3,https://movie.douban.com/subject/1294240/,1990
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,尼克·卡索维茨,,剧情 爱情,"The,Notebook",141,,8.5,恋恋笔记本,https://movie.douban.com/subject/1309163/,2004
坏人的好总是比好人的好来得更感人。,克林特·伊斯特伍德,,剧情 犯罪,"A,Perfect,World",146,,9.0,完美的世界,https://movie.douban.com/subject/1300992/,1993
爱是摈弃傲慢与偏见之后的曙光。,乔·赖特,,剧情 爱情,"Pride,&,Prejudice",144,,8.4,傲慢与偏见,https://movie.douban.com/subject/1418200/,2005
香港浪漫主义警匪动作片的巅峰之作。,吴宇森,,剧情 喜剧 动作 犯罪,緃横四海,147,,8.7,纵横四海,https://movie.douban.com/subject/1295409/,1991
青春就是放弃和怀念。,新海诚,,剧情 爱情 动画,秒速5センチメートル,175,,8.3,秒速5厘米,https://movie.douban.com/subject/2043546/,2007
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,吕克·贝松,,剧情 爱情,"Le,grand,bleu",171,,8.7,碧海蓝天,https://movie.douban.com/subject/1300960/,1988
英雄泪短，兄弟情长。 ,吴宇森,,动作 犯罪,,142,,8.7,英雄本色,https://movie.douban.com/subject/1297574/,1986
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一,,剧情,"冬春篇,リトル・フォレスト,冬・春",172,,8.9,小森林,https://movie.douban.com/subject/25814707/,2015
诺兰就是保证。,克里斯托弗·诺兰,,剧情 动作 科幻 惊悚 犯罪,"The,Dark,Knight,Rises",174,,8.5,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,2012
天使保护事件始末。,阿米尔·汗,,剧情 家庭 儿童,"Taare,Zameen,Par",173,,8.8,地球上的星星,https://movie.douban.com/subject/2363506/,2007
坚硬的信仰。,陆川,,剧情 犯罪,,170,,8.6,可可西里,https://movie.douban.com/subject/1308857/,2004
一场没有春天的噩梦。,达伦·阿伦诺夫斯基,,剧情,"Requiem,for,a,Dream",169,,8.7,梦之安魂曲,https://movie.douban.com/subject/1292270/,2000
做一颗让别人需要你的棋子。,安德鲁·尼科尔,,剧情 犯罪,"Lord,of,War",168,,8.5,战争之王,https://movie.douban.com/subject/1419936/,2005
华太师是黄霑，吴镇宇四大才子之一。,李力持,,喜剧 爱情 古装,唐伯虎點秋香,166,,8.4,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1993
Balalala~~~,唐·霍尔,,喜剧 动作 科幻 动画 冒险,"Big,Hero,6",167,,8.6,超能陆战队,https://movie.douban.com/subject/11026735/,2014
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯,,剧情 爱情 奇幻,"About,Time",165,,8.6,时空恋旅人,https://movie.douban.com/subject/10577869/,2013
